Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,tournament
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Wolves Esports vs Trace Esports,Wolves Esports,Trace Esports,0,2,Trace Esports won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Nova Esports vs FunPlus Phoenix,Nova Esports,FunPlus Phoenix,0,2,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bilibili Gaming vs All Gamers,Bilibili Gaming,All Gamers,0,2,All Gamers won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Dragon Ranger Gaming vs JDG Esports,Dragon Ranger Gaming,JDG Esports,2,1,Dragon Ranger Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 3,TYLOO vs Nova Esports,TYLOO,Nova Esports,2,1,TYLOO won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 3,EDward Gaming vs Titan Esports Club,EDward Gaming,Titan Esports Club,2,0,EDward Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Titan Esports Club vs Bilibili Gaming,Titan Esports Club,Bilibili Gaming,2,1,Titan Esports Club won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Trace Esports vs Dragon Ranger Gaming,Trace Esports,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,TYLOO vs Wolves Esports,TYLOO,Wolves Esports,1,2,Wolves Esports won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,FunPlus Phoenix vs EDward Gaming,FunPlus Phoenix,EDward Gaming,2,1,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,All Gamers vs Nova Esports,All Gamers,Nova Esports,2,1,All Gamers won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bilibili Gaming vs JDG Esports,Bilibili Gaming,JDG Esports,2,0,Bilibili Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,EDward Gaming vs All Gamers,EDward Gaming,All Gamers,2,0,EDward Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Wolves Esports vs JDG Esports,Wolves Esports,JDG Esports,0,2,JDG Esports won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Dragon Ranger Gaming vs TYLOO,Dragon Ranger Gaming,TYLOO,0,2,TYLOO won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Bilibili Gaming vs FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,0,2,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Nova Esports vs Titan Esports Club,Nova Esports,Titan Esports Club,2,0,Nova Esports won,vct_2024
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,0,2,EDward Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Trace Esports vs All Gamers,Trace Esports,All Gamers,2,0,Trace Esports won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,Nova Esports,2,0,Dragon Ranger Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,FunPlus Phoenix vs Trace Esports,FunPlus Phoenix,Trace Esports,2,0,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,2,0,EDward Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Upper Final,FunPlus Phoenix vs EDward Gaming,FunPlus Phoenix,EDward Gaming,2,0,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Lower Round 1,Trace Esports vs Dragon Ranger Gaming,Trace Esports,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Lower Final,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,3,1,EDward Gaming won,vct_2024
Champions Tour 2024: China Stage 1,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,FunPlus Phoenix,EDward Gaming,1,3,EDward Gaming won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,Cloud9 vs LEVIATÁN,Cloud9,LEVIATÁN,2,1,Cloud9 won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,NRG Esports vs LOUD,NRG Esports,LOUD,2,0,NRG Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,2,0,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,0,Sentinels won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,KRÜ Esports vs FURIA,KRÜ Esports,FURIA,2,1,KRÜ Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,0,2,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,Sentinels vs LEVIATÁN,Sentinels,LEVIATÁN,0,2,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,KRÜ Esports vs MIBR,KRÜ Esports,MIBR,2,0,KRÜ Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,NRG Esports vs FURIA,NRG Esports,FURIA,2,0,NRG Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,Cloud9 vs Evil Geniuses,Cloud9,Evil Geniuses,2,1,Cloud9 won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Sentinels vs MIBR,Sentinels,MIBR,2,0,Sentinels won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Cloud9 vs LOUD,Cloud9,LOUD,2,1,Cloud9 won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,KRÜ Esports vs Evil Geniuses,KRÜ Esports,Evil Geniuses,2,0,KRÜ Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,NRG Esports vs LEVIATÁN,NRG Esports,LEVIATÁN,0,2,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,G2 Esports vs FURIA,G2 Esports,FURIA,2,0,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Cloud9 vs 100 Thieves,Cloud9,100 Thieves,0,2,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Sentinels vs Evil Geniuses,Sentinels,Evil Geniuses,1,2,Evil Geniuses won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,NRG Esports vs MIBR,NRG Esports,MIBR,2,0,NRG Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,1,2,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,KRÜ Esports vs LOUD,KRÜ Esports,LOUD,2,0,KRÜ Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,G2 Esports vs MIBR,G2 Esports,MIBR,2,0,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,Sentinels vs LOUD,Sentinels,LOUD,0,2,LOUD won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,Cloud9 vs FURIA,Cloud9,FURIA,2,1,Cloud9 won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,NRG Esports vs Evil Geniuses,NRG Esports,Evil Geniuses,1,2,Evil Geniuses won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,KRÜ Esports vs 100 Thieves,KRÜ Esports,100 Thieves,2,1,KRÜ Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,Sentinels vs FURIA,Sentinels,FURIA,2,0,Sentinels won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,NRG Esports vs 100 Thieves,NRG Esports,100 Thieves,0,2,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,KRÜ Esports vs LEVIATÁN,KRÜ Esports,LEVIATÁN,1,2,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,Cloud9 vs MIBR,Cloud9,MIBR,2,0,Cloud9 won,vct_2024
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,G2 Esports vs LOUD,G2 Esports,LOUD,0,2,LOUD won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Cloud9 vs G2 Esports,Cloud9,G2 Esports,0,2,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,100 Thieves vs LOUD,100 Thieves,LOUD,2,0,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs G2 Esports,KRÜ Esports,G2 Esports,0,2,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,LEVIATÁN vs 100 Thieves,LEVIATÁN,100 Thieves,1,2,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,1,2,100 Thieves won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,LEVIATÁN,1,2,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,3,2,G2 Esports won,vct_2024
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,100 Thieves vs G2 Esports,100 Thieves,G2 Esports,3,0,100 Thieves won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Karmine Corp vs GIANTX,Karmine Corp,GIANTX,2,0,Karmine Corp won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,KOI vs Team Liquid,KOI,Team Liquid,0,2,Team Liquid won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Team Vitality vs Natus Vincere,Team Vitality,Natus Vincere,0,2,Natus Vincere won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,FNATIC vs Team Heretics,FNATIC,Team Heretics,0,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Team Liquid vs FUT Esports,Team Liquid,FUT Esports,0,2,FUT Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,BBL Esports vs Gentle Mates,BBL Esports,Gentle Mates,0,2,Gentle Mates won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,1,2,FUT Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,2,1,Team Vitality won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,1,2,Natus Vincere won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,BBL Esports vs KOI,BBL Esports,KOI,2,0,BBL Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,FNATIC vs GIANTX,FNATIC,GIANTX,2,1,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Karmine Corp vs Gentle Mates,Karmine Corp,Gentle Mates,2,0,Karmine Corp won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Gentle Mates vs FNATIC,Gentle Mates,FNATIC,0,2,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Karmine Corp vs Natus Vincere,Karmine Corp,Natus Vincere,1,2,Natus Vincere won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,BBL Esports vs Team Heretics,BBL Esports,Team Heretics,2,0,BBL Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Team Vitality vs FUT Esports,Team Vitality,FUT Esports,2,1,Team Vitality won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Team Liquid vs GIANTX,Team Liquid,GIANTX,2,1,Team Liquid won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,FNATIC vs KOI,FNATIC,KOI,2,0,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Team Liquid vs Team Heretics,Team Liquid,Team Heretics,0,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Team Vitality vs Gentle Mates,Team Vitality,Gentle Mates,0,2,Gentle Mates won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,FNATIC vs FUT Esports,FNATIC,FUT Esports,0,2,FUT Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,BBL Esports vs Natus Vincere,BBL Esports,Natus Vincere,2,1,BBL Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Team Vitality vs GIANTX,Team Vitality,GIANTX,2,1,Team Vitality won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Karmine Corp vs KOI,Karmine Corp,KOI,2,1,Karmine Corp won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,BBL Esports vs GIANTX,BBL Esports,GIANTX,0,2,GIANTX won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Karmine Corp vs Team Heretics,Karmine Corp,Team Heretics,1,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Team Vitality vs KOI,Team Vitality,KOI,1,2,KOI won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Natus Vincere vs FNATIC,Natus Vincere,FNATIC,2,1,Natus Vincere won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Team Liquid vs Gentle Mates,Team Liquid,Gentle Mates,2,0,Team Liquid won,vct_2024
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,BBL Esports vs FUT Esports,BBL Esports,FUT Esports,0,2,FUT Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,FNATIC vs Team Liquid,FNATIC,Team Liquid,2,1,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Knockout Round,Natus Vincere vs Team Heretics,Natus Vincere,Team Heretics,0,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,Karmine Corp vs FNATIC,Karmine Corp,FNATIC,0,2,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Team Heretics,FUT Esports,Team Heretics,0,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Upper Final,FNATIC vs Team Heretics,FNATIC,Team Heretics,0,2,Team Heretics won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,0,2,FUT Esports won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Lower Final,FNATIC vs FUT Esports,FNATIC,FUT Esports,3,1,FNATIC won,vct_2024
Champions Tour 2024: EMEA Stage 1,Playoffs,Grand Final,Team Heretics vs FNATIC,Team Heretics,FNATIC,2,3,FNATIC won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Global Esports vs ZETA DIVISION,Global Esports,ZETA DIVISION,1,2,ZETA DIVISION won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Team Secret vs DRX,Team Secret,DRX,0,2,DRX won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,BLEED vs Talon Esports,BLEED,Talon Esports,1,2,Talon Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,T1 vs Paper Rex,T1,Paper Rex,0,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Team Secret vs Rex Regum Qeon,Team Secret,Rex Regum Qeon,1,2,Rex Regum Qeon won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Global Esports vs DRX,Global Esports,DRX,0,2,DRX won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,Gen.G vs Talon Esports,Gen.G,Talon Esports,2,0,Gen.G won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 1,T1 vs DetonatioN FocusMe,T1,DetonatioN FocusMe,1,2,DetonatioN FocusMe won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Gen.G vs Paper Rex,Gen.G,Paper Rex,1,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,T1 vs DRX,T1,DRX,1,2,DRX won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Team Secret vs ZETA DIVISION,Team Secret,ZETA DIVISION,2,1,Team Secret won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,BLEED vs Rex Regum Qeon,BLEED,Rex Regum Qeon,0,2,Rex Regum Qeon won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Gen.G vs DetonatioN FocusMe,Gen.G,DetonatioN FocusMe,2,0,Gen.G won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,Global Esports vs Talon Esports,Global Esports,Talon Esports,1,2,Talon Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,T1 vs Rex Regum Qeon,T1,Rex Regum Qeon,2,0,T1 won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 2,BLEED vs ZETA DIVISION,BLEED,ZETA DIVISION,1,2,ZETA DIVISION won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Gen.G vs DRX,Gen.G,DRX,1,2,DRX won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,BLEED vs DetonatioN FocusMe,BLEED,DetonatioN FocusMe,2,1,BLEED won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Global Esports vs Rex Regum Qeon,Global Esports,Rex Regum Qeon,2,0,Global Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Team Secret vs Paper Rex,Team Secret,Paper Rex,2,0,Team Secret won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,T1 vs Talon Esports,T1,Talon Esports,0,2,Talon Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Gen.G vs ZETA DIVISION,Gen.G,ZETA DIVISION,2,0,Gen.G won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Team Secret vs DetonatioN FocusMe,Team Secret,DetonatioN FocusMe,2,1,Team Secret won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 3,Global Esports vs Paper Rex,Global Esports,Paper Rex,0,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,BLEED vs Paper Rex,BLEED,Paper Rex,0,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Global Esports vs DetonatioN FocusMe,Global Esports,DetonatioN FocusMe,2,1,Global Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,1,T1 won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Team Secret vs Talon Esports,Team Secret,Talon Esports,1,2,Talon Esports won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,BLEED vs DRX,BLEED,DRX,0,2,DRX won,vct_2024
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,1,2,Rex Regum Qeon won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Team Secret vs T1,Team Secret,T1,0,2,T1 won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Paper Rex vs Talon Esports,Paper Rex,Talon Esports,2,1,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Gen.G vs T1,Gen.G,T1,1,2,T1 won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,DRX vs Paper Rex,DRX,Paper Rex,1,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,T1 vs Paper Rex,T1,Paper Rex,0,2,Paper Rex won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Gen.G vs DRX,Gen.G,DRX,2,1,Gen.G won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,T1 vs Gen.G,T1,Gen.G,0,3,Gen.G won,vct_2024
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Paper Rex,Gen.G,3,2,Paper Rex won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Karmine Corp,FunPlus Phoenix,2,0,Karmine Corp won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Gen.G,LOUD,2,1,Gen.G won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,EDward Gaming,Paper Rex,2,1,EDward Gaming won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,Team Heretics,2,1,Sentinels won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,Karmine Corp,2,0,Sentinels won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,EDward Gaming,Gen.G,1,2,Gen.G won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,FunPlus Phoenix,LOUD,0,2,LOUD won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Team Heretics,Paper Rex,1,2,Paper Rex won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,LOUD,EDward Gaming,2,0,LOUD won,vct_2024
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Karmine Corp,Paper Rex,1,2,Paper Rex won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Gen.G,Paper Rex,2,0,Gen.G won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Sentinels,LOUD,2,1,Sentinels won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Gen.G,Sentinels,2,1,Gen.G won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Paper Rex,LOUD,2,0,Paper Rex won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sentinels,Paper Rex,3,1,Sentinels won,vct_2024
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Gen.G,Sentinels,2,3,Sentinels won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,NRG Esports,FURIA,2,0,NRG Esports won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Cloud9,MIBR,2,1,Cloud9 won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,LOUD,Sentinels,2,0,LOUD won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LEVIATÁN vs 100 Thieves,LEVIATÁN,100 Thieves,2,1,LEVIATÁN won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,KRÜ Esports,G2 Esports,1,2,G2 Esports won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,FURIA,MIBR,0,2,MIBR won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,1,Sentinels won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,NRG Esports,Cloud9,2,0,NRG Esports won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs LEVIATÁN,LOUD,LEVIATÁN,2,1,LOUD won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,0,2,Evil Geniuses won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Cloud9,MIBR,0,2,MIBR won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),LEVIATÁN vs Sentinels,LEVIATÁN,Sentinels,1,2,Sentinels won,vct_2024
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,G2 Esports,KRÜ Esports,2,0,G2 Esports won,vct_2024
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,MIBR,Sentinels,0,2,Sentinels won,vct_2024
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,G2 Esports,MIBR,1,2,MIBR won,vct_2024
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sentinels,G2 Esports,1,2,G2 Esports won,vct_2024
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,1,2,LOUD won,vct_2024
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,NRG Esports,Sentinels,1,2,Sentinels won,vct_2024
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,LOUD,Sentinels,2,3,Sentinels won,vct_2024
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Trace Esports,TYLOO,2,0,Trace Esports won,vct_2024
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,Nova Esports,2,0,FunPlus Phoenix won,vct_2024
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,JDG Esports,Titan Esports Club,0,2,Titan Esports Club won,vct_2024
